404!,404!,,404.php:16,
"Nothing was found at this location. Try searching, or check out the links below.","Nothing was found at this location. Try searching, or check out the links below.",,404.php:17,
"Product Categories","Product Categories",,404.php:36,
"Popular Products","Popular Products",,"404.php:41 inc/admin/meta-boxes/class-electro-meta-box-home-v5.php:531
inc/functions/homepages/home-v5.php:150 inc/structure/homepage.php:1386
inc/structure/homepage.php:1549 inc/template-tags/homepages/home-v5.php:341",
"One Comment","One Comment","comments title",comments.php:25,
"Trackbacks and Pingbacks","Trackbacks and Pingbacks",,comments.php:42,
"Comment navigation","Comment navigation",,comments.php:59,
"&larr; Older Comments","&larr; Older Comments",,comments.php:60,
"Newer Comments &rarr;","Newer Comments &rarr;",,comments.php:61,
"Comments are closed.","Comments are closed.",,comments.php:68,
"Vendor Review","Vendor Review",,dokan/store-reviews.php:37,
"Terms And Conditions","Terms And Conditions",,dokan/store-toc.php:27,
"No products were found of this seller!","No products were found of this seller!",,dokan/store.php:46,
Electro,Electro,,"inc/admin/class-electro-admin-assets.php:55
inc/admin/electro-admin-functions.php:18
inc/redux-framework/electro-options.php:31",
"Electro Page Options","Electro Page Options",,inc/admin/class-electro-admin-meta-boxes.php:133,
"Home v1 Options","Home v1 Options",,inc/admin/class-electro-admin-meta-boxes.php:150,
"Home v2 Options","Home v2 Options",,inc/admin/class-electro-admin-meta-boxes.php:154,
"Home v3 Options","Home v3 Options",,inc/admin/class-electro-admin-meta-boxes.php:158,
"Home v4 Options","Home v4 Options",,inc/admin/class-electro-admin-meta-boxes.php:162,
"Home v5 Options","Home v5 Options",,inc/admin/class-electro-admin-meta-boxes.php:166,
"Home v6 Options","Home v6 Options",,inc/admin/class-electro-admin-meta-boxes.php:170,
"Home v7 Options","Home v7 Options",,inc/admin/class-electro-admin-meta-boxes.php:174,
"Mobile Home v1 Options","Mobile Home v1 Options",,inc/admin/class-electro-admin-meta-boxes.php:178,
"Mobile Home v2 Options","Mobile Home v2 Options",,inc/admin/class-electro-admin-meta-boxes.php:182,
"Electro Custom Primary Color CSS","Electro Custom Primary Color CSS",,inc/admin/electro-admin-functions.php:50,
"The generated custom primary color CSS is given below","The generated custom primary color CSS is given below",,inc/admin/electro-admin-functions.php:51,
Instructions,Instructions,,inc/admin/electro-admin-functions.php:53,
