"Исходный текст — английский","Перевод — русский"
"Child Theme Configurator","Конфигуратор детской темы"
,
"Child Themes","Детские темы"
"Child Theme Configurator requires WordPress version %s or later.","Конфигуратору дочерней темы требуется версия WordPress %s  или более поздняя."
"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",
"The Theme editor has been disabled. Template files must be edited offline.","Редактор тем отключен. Файлы шаблонов должны редактироваться в автономном режиме."
"Click here to edit template files using the Theme Editor","Нажмите здесь, чтобы редактировать файлы шаблонов с помощью редактора тем"
"URL/None","URL-адрес/Нет"
"Origin","происхождения"
"Color 1","Цвет 1"
"Color 2","Цвет 2"
"Width/None"," Ширина / нет"
"Style","Стиль"
"Color","цвет"
"Are you sure you wish to RESET? This will destroy any work you have done in the Configurator.","Вы уверены, что хотите сбросить? Это уничтожит любую работу, которую вы сделали в Конфигураторе."
"<span style=""font-size:10px"">!</span>","<span style=""font-size:10px"">!</span>"
"Selectors","Селекторы"
"Close","близко"
"Edit Selector","Редактор селектора"
"Cancel","Отмена"
"Rename","Rename"
"The stylesheet cannot be displayed.","Таблица стилей не может быть отображена."
"(Child Only)","(Только для детей)"
"Please enter a valid Child Theme.","Пожалуйста, введите действительную тему для детей."
"Please enter a valid Child Theme name.","Пожалуйста, введите правильное название детской темы."
"<strong>%s</strong> exists. Please enter a different Child Theme","<strong> %s  </strong> существует. Пожалуйста, введите другую тему ребенка"
"The page could not be loaded correctly.","Страница не может быть загружена правильно."
"Conflicting or out-of-date jQuery libraries were loaded by another plugin:","Конфликтующие или устаревшие библиотеки jQuery были загружены другим плагином:"
"Deactivating or replacing plugins may resolve this issue.","Деактивация или замена плагинов может решить эту проблему."
"%sWhy am I seeing this?%s"," %s Почему я вижу это? %s "
"No Styles Available. Check Parent/Child settings.","Нет доступных стилей. Проверьте настройки родителя / ребенка."
"Updating","обновление"
"Checking","проверка"
"The theme ""%s"" generated unexpected PHP debug output.","Тема "" %s "" сгенерировала неожиданные выходные данные отладки PHP."
"The theme ""%s"" could not be analyzed because the preview did not render correctly.","Не удалось проанализировать тему « %s », так как предварительный просмотр отображался неправильно."
"<p>First, verify you can <a href=""%s"">preview your home page with the Customizer</a> and try analyzing again.</p><p>If that does not work, try temporarily disabling plugins that <strong>minify CSS</strong> or that <strong>force redirects between HTTP and HTTPS</strong>.</p>","<p> Сначала убедитесь, что вы можете <a href=""%s""> просмотреть свою домашнюю страницу с помощью настройщика </a> и попробуйте снова выполнить анализ. </p> <p> Если это не помогло, попробуйте временно отключить плагины. что <strong> минимизировать CSS </strong> или <strong> принудительно перенаправляет между HTTP и HTTPS </strong>. </p>"
"Click to show/hide PHP debug output","Нажмите, чтобы показать / скрыть вывод отладки PHP"
"<p><strong>PLEASE NOTE:</strong></p><p><em>The analyzer reveals errors that may otherwise go undetected. Unless this is a fatal error, WordPress may appear to work correctly; however, PHP will continue to log the error until it is resolved. Please contact the author of any theme or plugin</em> <strong>mentioned above</strong> <em>and cut/paste the error from the text area.</em> <strong>Do not use a screen capture as it may cut off part of the error text.</strong> <em>Additional information about the error may also be available in the <a href=""http://www.childthemeconfigurator.com/child-theme-faqs/"" target=""_blank"">CTC documentation</a>.</em></p>","<p> <strong> ОБРАТИТЕ ВНИМАНИЕ: </strong> </p> <p> <em> Анализатор выявляет ошибки, которые в противном случае могут остаться незамеченными. Если это не фатальная ошибка, WordPress может работать правильно; однако PHP продолжит регистрировать ошибку, пока она не будет устранена. Пожалуйста, свяжитесь с автором любой темы или плагина </em> <strong>, упомянутых выше </strong> <em> и вырезайте / вставляйте ошибку из текстовой области. </Em> <strong> Не используйте снимок экрана как он может обрезать часть текста ошибки. </strong> <em> Дополнительная информация об ошибке также может быть доступна на <a href=""http://www.childthemeconfigurator.com/child-theme-faqs/"" target=""_ blank""> Документация CTC </a>. </em> </p>"
"Do Not Activate ""%s""! A PHP FATAL ERROR has been detected.","Не активируйте "" %s ""! PHP FATAL ERROR была обнаружена."
"This theme loads stylesheets after the wp_styles queue.","Эта тема загружает таблицы стилей после очереди wp_styles."
